"Date","Price","Open","High","Low","Vol.","Change %"
"01/10/2025","6.440","6.530","6.770","6.335","31.52M","-2.28%"
"01/09/2025","6.590","6.670","6.860","5.940","137.76M","-0.45%"
"01/08/2025","6.620","6.390","7.260","6.160","90.47M","2.80%"
"01/07/2025","6.440","5.490","7.200","5.470","128.87M","18.60%"
"01/06/2025","5.430","5.510","5.930","5.310","126.70M","-2.34%"
"01/05/2025","5.560","4.900","5.770","4.860","117.19M","11.42%"
"01/04/2025","4.990","5.530","5.580","4.260","171.23M","-8.78%"
"01/03/2025","5.470","5.610","6.080","5.380","160.12M","-2.84%"
"01/02/2025","5.630","6.020","6.470","5.170","176.34M","-8.01%"
"01/01/2025","6.120","6.220","6.460","5.870","97.87M","-1.29%"
"01/12/2024","6.200","6.590","6.760","5.920","98.44M","-5.78%"
"01/11/2024","6.580","6.780","7.130","6.490","94.19M","-3.38%"
"01/10/2024","6.810","7.150","7.470","6.370","138.73M","-5.68%"
"01/09/2024","7.220","6.670","7.380","5.450","196.36M","7.92%"
"01/08/2024","6.690","7.840","7.915","6.580","173.57M","-13.34%"
"01/07/2024","7.720","7.880","9.080","7.510","130.38M","0.92%"
"01/06/2024","7.650","8.130","8.480","7.430","84.40M","-5.09%"
"01/05/2024","8.060","7.620","8.080","7.335","88.95M","4.40%"
"01/04/2024","7.720","7.180","8.240","6.970","103.36M","8.73%"
"01/03/2024","7.100","6.930","7.210","6.260","134.00M","2.60%"
"01/02/2024","6.920","8.350","8.400","6.680","156.61M","-17.91%"
"01/01/2024","8.430","7.460","8.430","7.450","96.47M","13.31%"
"01/12/2023","7.440","7.230","7.530","7.010","75.49M","4.20%"
"01/11/2023","7.140","7.330","7.470","6.505","103.64M","-3.51%"
"01/10/2023","7.400","7.170","7.990","6.440","175.64M","4.08%"
"01/09/2023","7.110","6.110","7.430","6.020","132.29M","16.75%"
"01/08/2023","6.090","7.010","7.630","6.090","160.33M","-11.99%"
"01/07/2023","6.920","6.710","7.590","6.480","127.60M","3.13%"
"01/06/2023","6.710","5.720","7.060","5.670","189.00M","18.55%"
"01/05/2023","5.660","7.320","7.530","5.635","181.39M","-21.39%"
"01/04/2023","7.200","6.920","7.420","6.440","115.37M","6.98%"
"01/03/2023","6.730","7.150","7.630","6.350","211.31M","-6.92%"
"01/02/2023","7.230","8.350","8.940","7.120","245.50M","-13.93%"
"01/01/2023","8.400","9.440","9.690","8.070","198.69M","-10.83%"
"01/12/2022","9.420","10.110","10.930","9.260","157.71M","-6.18%"
"01/11/2022","10.040","9.000","10.250","7.750","317.57M","11.18%"
"01/10/2022","9.030","9.010","11.040","8.810","298.85M","0.22%"
"01/09/2022","9.010","7.530","9.330","7.510","247.15M","13.19%"
"01/08/2022","7.960","6.300","8.170","5.820","233.71M","28.18%"
"01/07/2022","6.210","4.680","6.550","4.530","155.51M","28.31%"
"01/06/2022","4.840","5.240","5.550","4.390","248.29M","-8.33%"
"01/05/2022","5.280","4.820","5.350","4.600","245.89M","7.32%"
"01/04/2022","4.920","4.160","5.080","4.110","168.77M","18.55%"
"01/03/2022","4.150","3.290","4.530","3.260","406.39M","29.28%"
"01/02/2022","3.210","2.700","3.310","2.660","237.01M","19.78%"
"01/01/2022","2.680","2.760","2.990","2.580","205.36M","2.68%"
"01/12/2021","2.610","2.390","2.740","2.300","161.10M","7.85%"
"01/11/2021","2.420","2.550","2.650","2.310","236.90M","-7.28%"
"01/10/2021","2.610","3.270","3.640","2.460","381.61M","-19.20%"
"01/09/2021","3.230","2.550","3.340","2.530","318.85M","27.67%"
"01/08/2021","2.530","2.210","2.540","2.090","206.05M","13.96%"
"01/07/2021","2.220","1.950","2.290","1.915","173.32M","14.43%"
"01/06/2021","1.940","1.590","2.155","1.575","261.86M","23.17%"
"01/05/2021","1.575","1.290","1.620","1.153","214.94M","23.05%"
"01/04/2021","1.280","1.730","1.860","1.210","256.81M","-27.48%"
"01/03/2021","1.765","1.545","1.850","1.500","215.73M","16.12%"
"01/02/2021","1.520","1.450","1.648","1.400","159.76M","1.67%"
"01/01/2021","1.495","1.630","1.870","1.465","223.04M","-9.12%"
"01/12/2020","1.645","1.310","1.760","1.240","310.24M","24.15%"
"01/11/2020","1.325","1.060","1.600","1.015","292.94M","24.41%"
"01/10/2020","1.065","1.075","1.110","0.925","268.62M","1.91%"
"01/09/2020","1.045","0.925","1.115","0.830","366.54M","12.37%"
"01/08/2020","0.930","1.370","1.440","0.865","298.55M","-32.85%"
"01/07/2020","1.385","1.450","1.665","1.370","168.07M","-3.15%"
"01/06/2020","1.430","1.780","1.990","1.375","241.24M","-20.99%"
"01/05/2020","1.810","1.745","1.890","1.660","132.87M","-0.55%"
"01/04/2020","1.820","2.110","2.240","1.680","144.66M","-5.45%"
"01/03/2020","1.925","1.950","2.190","1.375","246.68M","-3.75%"
"01/02/2020","2.000","2.490","2.675","1.930","168.68M","-20.32%"
"01/01/2020","2.510","2.620","2.690","2.310","129.46M","-4.92%"
"01/12/2019","2.640","3.150","3.170","2.490","147.83M","-16.19%"
"01/11/2019","3.150","3.260","3.470","2.980","226.38M","-4.83%"
"01/10/2019","3.310","3.150","3.475","3.030","98.95M","6.43%"
"01/09/2019","3.110","3.293","3.550","2.990","128.20M","-4.74%"
"01/08/2019","3.265","3.522","3.550","2.994","129.99M","-7.30%"
"01/07/2019","3.522","3.531","3.722","3.417","148.54M","1.09%"
"01/06/2019","3.484","3.769","3.788","3.360","133.35M","-6.87%"
"01/05/2019","3.741","3.988","4.145","3.703","112.85M","-6.43%"
"01/04/2019","3.998","3.855","4.302","3.541","197.69M","3.70%"
"01/03/2019","3.855","4.207","4.474","3.636","151.37M","-7.95%"
"01/02/2019","4.188","4.670","4.693","4.011","126.41M","-10.14%"
"01/01/2019","4.661","4.143","4.698","3.964","124.99M","14.58%"
"01/12/2018","4.067","4.067","4.453","3.870","90.77M","1.41%"
"01/11/2018","4.011","4.708","4.773","3.804","131.00M","-12.16%"
"01/10/2018","4.566","5.065","5.414","4.463","150.62M","-10.85%"
"01/09/2018","5.122","4.689","5.225","4.265","148.86M","10.97%"
"01/08/2018","4.616","4.973","5.194","4.423","115.63M","-7.37%"
"01/07/2018","4.983","5.322","5.460","4.804","111.56M","-6.06%"
"01/06/2018","5.304","4.863","5.414","4.721","126.42M","9.89%"
"01/05/2018","4.827","4.276","5.001","4.230","113.20M","13.85%"
"01/04/2018","4.239","3.982","4.313","3.840","102.30M","3.82%"
"01/03/2018","4.083","4.028","4.216","3.735","102.67M","1.83%"
"01/02/2018","4.010","4.496","4.570","3.845","120.76M","-11.54%"
"01/01/2018","4.533","4.074","4.551","3.881","123.43M","10.76%"
"01/12/2017","4.093","3.560","4.166","3.423","96.83M","15.84%"
"01/11/2017","3.533","3.321","3.738","3.258","111.49M","6.94%"
"01/10/2017","3.304","3.259","3.454","3.118","93.14M","1.36%"
"01/09/2017","3.259","3.135","3.445","3.002","117.13M","5.14%"
"01/08/2017","3.100","2.684","3.206","2.675","159.56M","17.85%"
"01/07/2017","2.630","2.560","2.710","2.458","123.63M","3.48%"
"01/06/2017","2.542","2.214","2.675","2.161","134.19M","13.44%"
"01/05/2017","2.241","2.436","2.480","2.148","150.36M","-7.66%"
"01/04/2017","2.427","2.630","3.047","2.374","137.24M","-8.36%"
"01/03/2017","2.648","2.542","2.701","2.320","141.56M","3.46%"
"01/02/2017","2.560","2.560","2.666","2.303","108.76M","1.76%"
"01/01/2017","2.515","2.338","2.692","2.320","109.30M","8.81%"
"01/12/2016","2.312","2.506","2.816","2.267","149.88M","-5.09%"
"01/11/2016","2.436","2.639","2.967","2.152","266.30M","-9.24%"
"01/10/2016","2.684","2.223","2.878","2.134","179.62M","23.67%"
"01/09/2016","2.170","1.709","2.431","1.621","182.49M","25.64%"
"01/08/2016","1.727","1.479","1.931","1.444","132.04M","15.73%"
"01/07/2016","1.492","0.983","1.634","0.979","130.95M","56.74%"
"01/06/2016","0.952","0.744","1.050","0.740","97.69M","27.22%"
"01/05/2016","0.748","0.700","0.777","0.567","69.45M","9.74%"
"01/04/2016","0.682","0.576","0.722","0.505","62.75M","17.56%"
"01/03/2016","0.580","0.496","0.700","0.487","113.71M","19.09%"
"01/02/2016","0.487","0.376","0.509","0.314","143.71M","34.15%"
"01/01/2016","0.363","0.607","0.651","0.337","82.57M","-41.43%"
"01/12/2015","0.620","0.802","0.839","0.536","71.31M","-22.65%"
"01/11/2015","0.802","0.921","1.010","0.802","41.71M","-11.27%"
"01/10/2015","0.903","0.815","0.983","0.806","59.01M","13.97%"
"01/09/2015","0.793","1.032","1.032","0.781","67.24M","-23.18%"
"01/08/2015","1.032","1.054","1.103","0.846","107.29M","-2.92%"
"01/07/2015","1.063","1.125","1.187","0.996","69.02M","-8.75%"
"01/06/2015","1.165","1.320","1.329","1.103","59.48M","-11.15%"
"01/05/2015","1.311","1.444","1.466","1.196","47.52M","-10.30%"
"01/04/2015","1.461","1.240","1.497","1.196","46.66M","15.79%"
"01/03/2015","1.262","1.426","1.515","1.227","66.44M","-11.49%"
"01/02/2015","1.426","1.129","1.523","1.107","59.26M","29.84%"
"01/01/2015","1.098","1.244","1.311","0.983","47.43M","-11.43%"
"01/12/2014","1.240","1.089","1.373","0.952","58.31M","12.90%"
"01/11/2014","1.098","1.360","1.360","1.050","58.23M","-18.15%"
"01/10/2014","1.342","1.497","1.541","1.262","60.21M","-11.40%"
"01/09/2014","1.515","1.767","1.780","1.470","55.97M","-13.42%"
"01/08/2014","1.749","1.484","1.798","1.479","75.71M","15.84%"
"01/07/2014","1.510","1.267","1.523","1.258","54.53M","18.82%"
"01/06/2014","1.271","1.315","1.360","1.240","40.60M","-3.37%"
"01/05/2014","1.315","1.289","1.382","1.205","52.81M","1.71%"
"01/04/2014","1.293","1.461","1.488","1.284","51.81M","-11.78%"
"01/03/2014","1.466","1.665","1.665","1.386","96.02M","-12.20%"
"01/02/2014","1.670","1.577","1.678","1.364","81.25M","5.01%"
"01/01/2014","1.590","1.705","1.749","1.537","57.84M","-6.02%"
