F2.1 CAPITAL MARKET YIELDS – GOVERNMENT BONDS,,,,,
Title,Australian Government 10 year bond,Australian Government 3 year bond,Australian Government 5 year bond,Australian Government 10 year bond,Australian Government Indexed Bond
Description,"Yields on Australian government bonds, interpolated, 10 years maturity","Yields on Australian government bonds, interpolated, 3 years maturity","Yields on Australian government bonds, interpolated, 5 years maturity","Yields on Australian government bonds, interpolated, 10 years maturity","Yields on Australian government indexed bonds, interpolated, 10 years maturity"
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly
Type,Original,Original,Original,Original,Original
Units,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum
,,,,,
,,,,,
Source,RBA,RBA,RBA,RBA,RBA
Publication date,3-Oct-25,3-Oct-25,3-Oct-25,3-Oct-25,3-Oct-25
Series ID,FCMYGBAG10,FCMYGBAG3,FCMYGBAG5,FCMYGBAG10,FCMYGBAGI
31-May-13,3.324,,,3.324,
30-Jun-13,3.555,,,3.555,
31-Jul-13,3.772,,,3.772,
31-Aug-13,3.894,,,3.894,
30-Sep-13,4.033,2.9,3.331,4.033,
31-Oct-13,4.009,2.952,3.351,4.009,
30-Nov-13,4.175,3.035,3.462,4.175,
31-Dec-13,4.262,2.964,3.461,4.262,
31-Jan-14,4.158,2.905,3.409,4.158,
28-Feb-14,4.104,2.953,3.408,4.104,
31-Mar-14,4.092,2.963,3.411,4.092,
30-Apr-14,4.027,3.002,3.398,4.027,
31-May-14,3.781,2.856,3.2,3.781,
30-Jun-14,3.713,2.795,3.118,3.713,
31-Jul-14,3.486,2.637,2.937,3.486,
31-Aug-14,3.43,2.654,2.922,3.43,
30-Sep-14,3.573,2.793,3.041,3.573,
31-Oct-14,3.344,2.602,2.839,3.344,
30-Nov-14,3.294,2.552,2.767,3.294,0.854
31-Dec-14,2.964,2.273,2.435,2.964,0.717
31-Jan-15,2.622,2.106,2.208,2.622,0.423
28-Feb-15,2.49,1.879,2.012,2.49,0.275
31-Mar-15,2.475,1.831,1.978,2.475,0.223
30-Apr-15,2.41,1.801,1.947,2.41,0.147
31-May-15,2.882,2.067,2.271,2.882,0.554
30-Jun-15,2.985,2.028,2.288,2.985,0.644
31-Jul-15,2.922,1.946,2.204,2.922,0.597
31-Aug-15,2.738,1.879,2.1,2.738,0.505
30-Sep-15,2.724,1.855,2.101,2.724,0.533
31-Oct-15,2.657,1.834,2.072,2.657,0.453
30-Nov-15,2.889,2.056,2.279,2.889,0.664
31-Dec-15,2.852,2.094,2.284,2.852,0.641
31-Jan-16,2.708,1.941,2.147,2.708,0.64
